"iso3c","short_name","type","value","label","axis","year_lab"
"AFG","Afghanistan","cen_popu",,"Population & Housing census","value",
"AFG","Afghanistan","svy_hlth",2022,"Health/Demographic survey","value","2022"
"AFG","Afghanistan","cen_agri",2003,"Agriculture census","value","2003"
"AFG","Afghanistan","svy_agri",2022,"Agriculture survey","value","2022"
"AFG","Afghanistan","cen_bizz",,"Business/establishment census","value",
"AFG","Afghanistan","svy_bizz",2015,"Business/establishment survey","value","2015"
"AFG","Afghanistan","svy_hous",2019,"Household Survey on income/consumption/etc.","value","2019"
"AFG","Afghanistan","svy_labr",2021,"Labor Force Survey","value","2021"
"ALB","Albania","cen_popu",2023,"Population & Housing census","value","2023"
"ALB","Albania","svy_hlth",2020,"Health/Demographic survey","value","2020"
"ALB","Albania","cen_agri",2020,"Agriculture census","value","2020"
"ALB","Albania","svy_agri",1995,"Agriculture survey","value","1995"
"ALB","Albania","cen_bizz",,"Business/establishment census","value",
"ALB","Albania","svy_bizz",2019,"Business/establishment survey","value","2019"
"ALB","Albania","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"ALB","Albania","svy_labr",2022,"Labor Force Survey","value","2022"
"DZA","Algeria","cen_popu",2022,"Population & Housing census","value","2022"
"DZA","Algeria","svy_hlth",2018,"Health/Demographic survey","value","2018"
"DZA","Algeria","cen_agri",2001,"Agriculture census","value","2001"
"DZA","Algeria","svy_agri",2021,"Agriculture survey","value","2021"
"DZA","Algeria","cen_bizz",2011,"Business/establishment census","value","2011"
"DZA","Algeria","svy_bizz",,"Business/establishment survey","value",
"DZA","Algeria","svy_hous",2011,"Household Survey on income/consumption/etc.","value","2011"
"DZA","Algeria","svy_labr",,"Labor Force Survey","value",
"ASM","American Samoa","cen_popu",,"Population & Housing census","value",
"ASM","American Samoa","svy_hlth",,"Health/Demographic survey","value",
"ASM","American Samoa","cen_agri",,"Agriculture census","value",
"ASM","American Samoa","svy_agri",,"Agriculture survey","value",
"ASM","American Samoa","cen_bizz",,"Business/establishment census","value",
"ASM","American Samoa","svy_bizz",,"Business/establishment survey","value",
"ASM","American Samoa","svy_hous",,"Household Survey on income/consumption/etc.","value",
"ASM","American Samoa","svy_labr",,"Labor Force Survey","value",
