"iso3c","iso2c","capital_city","longitude","latitude","region","region_iso3c","income_level","income_level_iso3c","lending_type","standard_imf","bop_imf","short_name","long_name","wb2code","cen_popu","cen_agri","cen_bizz","svy_hous","svy_agri","svy_labr","svy_hlth","svy_bizz","system_na","baseyr_na","classif_industry","cpi_year","classif_hh_consump","compil_finance","compil_monetary","bizz_process","classif_emp","status_account","nso_name","nso_uri","wb_uri","spi_gap_url"
"ABW","AW","Oranjestad",-70.0167,12.5167,"Latin America & Caribbean","LCN","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Aruba","Aruba","AW",NA,NA,NA,NA,NA,"2014",NA,NA,"2008 System of National Accounts methodology","2013",NA,NA,NA,NA,NA,NA,NA,NA," Central Bureau of Statistics","http://www.cbs.aw/",NA,NA
"AFG","AF","Kabul",69.1761,34.5228,"South Asia","SAS","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Afghanistan","Islamic State of Afghanistan","AF",NA,"2003",NA,"2019","2022","2021","2022","2015","1993 System of National Accounts methodology","2016",NA,"2015","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis",NA,NA,"https://www.worldbank.org/en/country/afghanistan",NA
"AGO","AO","Luanda",13.242,-8.81155,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Angola","People's Republic of Angola","AO","2014","2019","2021","2018",NA,"2021","2015","2018","1993 System of National Accounts methodology","2002","rev4","2020","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Instituto Nacional de Estatistica","https://www.ine.gov.ao/","https://www.worldbank.org/en/country/angola",NA
"ALB","AL","Tirane",19.8172,41.3317,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Albania","Republic of Albania","AL","2023","2020",NA,"2022","1995","2022","2020","2019","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2020","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Institute of Statistics (INSTAT)","http://www.instat.gov.al/","https://www.worldbank.org/en/country/albania",NA
"AND","AD","Andorra la Vella",1.5218,42.5075,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,NA,"Andorra","Principality of Andorra","AD","2021",NA,NA,"2021",NA,"2022","2019",NA,"1993 System of National Accounts methodology","2010",NA,NA,NA,"ESA 2010",NA,NA,NA,"Otherwise"," Departament d'Estadística","http://www.estadistica.ad/",NA,NA
"ARE","AE","Abu Dhabi",54.3705,24.4764,"Middle East & North Africa","MEA","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)",NA,"United Arab Emirates","United Arab Emirates","AE","2010",NA,NA,"2018","2022","2022","2009",NA,"2008 System of National Accounts methodology","2010","rev4","2021","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Federal Competitiveness & Statistics Authority","http://www.fcsa.gov.ae/","https://www.worldbank.org/en/country/gcc",NA
"ARG","AR","Buenos Aires",-58.4173,-34.6118,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Argentina","Argentine Republic","AR","2022","2018","2020","2018","2018","2023","2019","2010","2008 System of National Accounts methodology","2004","rev3","2016","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Instituto Nacional de Estadística y Censos","https://www.indec.gob.ar/","https://www.worldbank.org/en/country/argentina",NA
"ARM","AM","Yerevan",44.509,40.1596,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Armenia","Republic of Armenia","AM","2011","2014",NA,"2022","2008","2022","2015",NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.","nace rev2","annual chained","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","cash recording basis"," NationalStatistical Service of the Republic of Armenia","http://www.armstat.am/","https://www.worldbank.org/en/country/armenia",NA
"ASM","AS","Pago Pago",-170.691,-14.2846,"East Asia & Pacific","EAS","High income","HIC","Not classified",NA,NA,"American Samoa","American Samoa","AS",NA,NA,NA,NA,NA,NA,NA,NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATG","AG","Saint John's",-61.8456,17.1175,"Latin America & Caribbean","LCN","High income","HIC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Antigua and Barbuda","Antigua and Barbuda","AG","2011","2007",NA,"2005",NA,NA,"2009",NA,"2008 System of National Accounts methodology","2018","rev3","2019","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA,NA,NA,"https://www.worldbank.org/en/country/caribbean",NA
"AUS","AU","Canberra",149.129,-35.282,"East Asia & Pacific","EAS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Australia","Commonwealth of Australia","AU","2016","2015",NA,"2020","2022","2023","2022","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Australian Bureau of Statistics","http://www.abs.gov.au/","https://www.worldbank.org/en/country/australia",NA
"AUT","AT","Vienna",16.3798,48.2201,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Austria","Republic of Austria","AT","2021","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Statistics Austria","http://www.statistik.at/","https://www.worldbank.org/en/country/austria",NA
"AZE","AZ","Baku",49.8932,40.3834,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Azerbaijan","Republic of Azerbaijan","AZ","2019","2015",NA,"2018",NA,"2022","2006",NA,"1993 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2010","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","cash recording basis"," State Statistical Committee of Azerbaijan Republic","https://www.stat.gov.az/?lang=en","https://www.worldbank.org/en/country/azerbaijan",NA
"BDI","BI","Bujumbura",29.3639,-3.3784,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Burundi","Republic of Burundi","BI","2008",NA,NA,"2020","2011","2005","2016","2005","1993 System of National Accounts methodology","2005","rev3","2016","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Institut de Statistiques et d'etudes Economuques","http://www.isteebu.bi/","https://www.worldbank.org/en/country/burundi",NA
"BEL","BE","Brussels",4.36761,50.8371,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Belgium","Kingdom of Belgium","BE","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Statistics Belgium","http://www.statbel.fgov.be/","https://www.worldbank.org/en/country/belgium",NA
"BEN","BJ","Porto-Novo",2.6323,6.4779,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Benin","Republic of Benin","BJ","2023","2019","2008","2021",NA,"2018","2017",NA,"2008 System of National Accounts methodology","2015","rev4","2014","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Institut national de la statistique et de l'analyse economique","http://www.insae-bj.org/","https://www.worldbank.org/en/country/benin",NA
"BFA","BF","Ouagadougou",-1.53395,12.3605,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Burkina Faso","Burkina Faso","BF","2019","2010",NA,"2021","2022","2023","2021","2009","2008 System of National Accounts methodology","2015","rev4","2014","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Institut National de la Statistique des et de la Démographie","http://www.insd.bf/n/","https://www.worldbank.org/en/country/burkinafaso",NA
"BGD","BD","Dhaka",90.4113,23.7055,"South Asia","SAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Bangladesh","People's Republic of Bangladesh","BD","2022","2019",NA,"2022","2022","2022","2019","2010","1993 System of National Accounts methodology","2016","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Bureau of Statistics","http://www.bbs.gov.bd/","https://www.worldbank.org/en/country/bangladesh",NA
"BGR","BG","Sofia",23.3238,42.7105,"Europe & Central Asia","ECS","High income","HIC","IBRD","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Bulgaria","Republic of Bulgaria","BG","2021","2020",NA,"2021","2023","2019","2019","2019","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)",NA,"ICSE-93","noncash recording basis"," National Statistical Institute of the Republic of Bulgaria","http://www.nsi.bg/","https://www.worldbank.org/en/country/bulgaria",NA
"BHR","BH","Manama",50.5354,26.1921,"Middle East & North Africa","MEA","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Bahrain","Kingdom of Bahrain","BH","2020",NA,NA,"2014",NA,"2013","2018","2006","1993 System of National Accounts methodology","2010","rev3","2019","COICOP","2001","SRFs Not Reported",NA,NA,"Otherwise"," Central Informatics Organisation - Statistics","http://www.cio.gov.bh/","https://www.worldbank.org/en/country/gcc",NA
